Customer_ID,Customer_Name,Phone,Age,Occupation,Gender,House_No,Moo,Subdistrict,District,Province,Postal_Code,Marital_Status,Beneficiary_Name,Beneficiary_Relationship,Annual_Income
C001,ปวีณา คงมั่น,0891873851,33,พนักงานขาย,หญิง,195/36,13,กุดเค้า,มัญจาคีรี,ขอนแก่น,40160,หม้าย,วรพล ศรีสุข,ภรรยา,189000
C002,ชลธิชา แก้วใส,0882919136,61,ครู,ชาย,127/26,14,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000,โสด,ศุภชัย รุ่งเรือง,มารดา,304000
C003,อรปรียา บุญมี,0816233774,49,ตำรวจ,หญิง,86/78,10,กุดเค้า,มัญจาคีรี,ขอนแก่น,40160,โสด,มณีรัตน์ สุขสวัสดิ์,สามี,295000
C004,อรปรียา สุวรรณ,0821689025,44,โปรแกรมเมอร์,ชาย,125/14,12,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,วรัญญา สุวรรณ,บุตร,1124000
C005,ชลธิชา บุญช่วย,0877076506,47,เกษตรกร,หญิง,260/83,6,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,โสด,วรัญญา อินทร์ดี,ภรรยา,174000
C006,ธนกร เจริญสุข,0865118725,65,แพทย์,หญิง,268/84,5,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,สุภาวดี อินทร์ดี,พี่น้อง,1149000
C007,รัตนาภรณ์ ศรีสุข,0839179730,37,พนักงานขาย,ชาย,292/79,11,ชุมแพ,ชุมแพ,ขอนแก่น,40130,หม้าย,ภัทรพล ใจดี,ภรรยา,346000
C008,อรทัย มีสุข,0885031966,36,นักบัญชี,หญิง,142/72,1,น้ำพอง,น้ำพอง,ขอนแก่น,40140,สมรส,ณัฐวุฒิ แก้วใส,พี่น้อง,448000
C009,พัชราภา พงษ์ดี,0868939993,61,ตำรวจ,หญิง,9/12,5,ชุมแพ,ชุมแพ,ขอนแก่น,40130,สมรส,ปวีณา คงดี,มารดา,396000
C010,ภูมิพัฒน์ วงศ์ดี,0863005795,42,โปรแกรมเมอร์,หญิง,233/35,5,กุดเค้า,มัญจาคีรี,ขอนแก่น,40160,หย่าร้าง,ศิริพร วัฒนชัย,พี่น้อง,497000
C011,เอกภพ บุญช่วย,0864010529,64,แพทย์,ชาย,248/36,12,เมืองเก่า,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,กิตติพงษ์ บุญมี,สามี,1065000
C012,นภัสสร ใจดี,0821205779,65,คนขับรถ,ชาย,24/7,9,สำราญ,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,พัชราภา รุ่งเรือง,พี่น้อง,431000
C013,อรปรียา พรหมดี,0821899411,50,พนักงานขาย,หญิง,95/7,5,กุดเค้า,มัญจาคีรี,ขอนแก่น,40160,หม้าย,กิตติพงษ์ ศรีสุข,ภรรยา,431000
C014,พิมพ์ชนก รุ่งเรือง,0897381684,56,วิศวกร,ชาย,61/72,13,เมืองเก่า,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,ศุภชัย ศรีทอง,บุตร,531000
C015,สุภาวดี เจริญสุข,0852362099,39,ช่างก่อสร้าง,หญิง,292/80,1,สำราญ,เมืองขอนแก่น,ขอนแก่น,40000,โสด,มณีรัตน์ บุญมี,พี่น้อง,288000
C016,ธนภัทร แก้วใส,0858617381,31,คนขับรถ,ชาย,2/53,8,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,นภัสสร แสงทอง,มารดา,327000
C017,ณัฐวุฒิ สุวรรณ,0836160869,34,วิศวกร,ชาย,59/70,4,บ้านไผ่,บ้านไผ่,ขอนแก่น,40110,สมรส,วรพล รุ่งเรือง,บิดา,361000
C018,ศุภชัย ทองคำ,0882349590,56,วิศวกร,หญิง,240/89,5,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,วรพล วงศ์ดี,บุตร,805000
C019,ศุภชัย แสงทอง,0851674975,47,ตำรวจ,หญิง,129/4,2,น้ำพอง,น้ำพอง,ขอนแก่น,40140,สมรส,ณิชาภัทร ทองดี,บุตร,250000
C020,มณีรัตน์ สุขสวัสดิ์,0866386463,50,คนขับรถ,หญิง,93/75,7,สำราญ,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,ณัฐวุฒิ พงษ์ดี,สามี,389000
C021,ณิชาภัทร วัฒนชัย,0862944841,30,นักบัญชี,หญิง,148/85,7,ชุมแพ,ชุมแพ,ขอนแก่น,40130,โสด,สุภาวดี ศรีสุข,สามี,369000
C022,มณีรัตน์ สายทอง,0814415140,52,พนักงานบริษัท,หญิง,28/25,9,บ้านไผ่,บ้านไผ่,ขอนแก่น,40110,หย่าร้าง,ศุภชัย พงษ์ดี,พี่น้อง,406000
C023,วรพล บุญช่วย,0817844947,28,วิศวกร,หญิง,63/4,11,ชุมแพ,ชุมแพ,ขอนแก่น,40130,สมรส,พัชราภา สุขสวัสดิ์,สามี,864000
C024,ณัฐวุฒิ แก้วใส,0883426689,27,พนักงานขาย,ชาย,256/92,5,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,ธีรภัทร์ พงษ์ดี,ภรรยา,304000
C025,ปวีณา บุญมี,0856008935,58,คนขับรถ,ชาย,142/99,13,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,ภัทรพล วงศ์ดี,สามี,181000
C026,รัตนาภรณ์ ทองดี,0886398528,57,เกษตรกร,หญิง,229/69,8,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,ภัทรพล บุญช่วย,บุตร,313000
C027,วรัญญา บุญมี,0839310235,64,พยาบาล,หญิง,211/6,6,เมืองเก่า,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,พัชราภา สายทอง,ภรรยา,579000
C028,สมหญิง รุ่งเรือง,0832255409,52,ช่างก่อสร้าง,หญิง,226/13,9,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,สมชาย ทองคำ,มารดา,389000
C029,อนันต์ อินทร์ทอง,0881602286,41,ช่างก่อสร้าง,หญิง,169/87,14,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,ภัทรพล แก้วมณี,พี่น้อง,568000
C030,ศุภชัย ศรีสุข,0811771600,35,เกษตรกร,หญิง,47/56,2,เมืองเก่า,เมืองขอนแก่น,ขอนแก่น,40000,โสด,สุภาวดี สุขสวัสดิ์,พี่น้อง,273000
C031,ภัทรพล แสงทอง,0832324869,38,นักบัญชี,หญิง,75/32,9,บ้านไผ่,บ้านไผ่,ขอนแก่น,40110,หม้าย,อรปรียา สุวรรณ,มารดา,327000
C032,ศุภชัย สายทอง,0818805654,59,เกษตรกร,ชาย,299/19,4,ชุมแพ,ชุมแพ,ขอนแก่น,40130,หม้าย,ธนกร อินทร์ทอง,ภรรยา,250000
C033,นภัสสร สุวรรณ,0847454081,54,แพทย์,ชาย,177/76,5,ชุมแพ,ชุมแพ,ขอนแก่น,40130,หม้าย,พัชราภา อินทร์ทอง,ภรรยา,1218000
C034,วรัญญา พงษ์ดี,0811822825,26,พยาบาล,หญิง,184/74,5,น้ำพอง,น้ำพอง,ขอนแก่น,40140,หย่าร้าง,สมชาย สุวรรณ,ภรรยา,380000
C035,ศุภชัย ทองคำ,0821661401,51,วิศวกร,ชาย,181/29,11,น้ำพอง,น้ำพอง,ขอนแก่น,40140,สมรส,ศุภชัย อินทร์ทอง,พี่น้อง,440000
C036,นภัสสร เจริญสุข,0897138070,22,ช่างก่อสร้าง,หญิง,47/38,6,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,40000,สมรส,ธนภัทร บุญมี,มารดา,582000
C037,กัญญารัตน์ วงศ์ดี,0834785186,37,แพทย์,หญิง,152/96,14,ชุมแพ,ชุมแพ,ขอนแก่น,40130,หย่าร้าง,ชยพล วัฒนชัย,ภรรยา,754000
C038,วรัญญา สุวรรณ,0857392547,63,โปรแกรมเมอร์,หญิง,203/2,5,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,โสด,สุภาวดี มีสุข,พี่น้อง,1066000
C039,รัตนาภรณ์ แก้วมณี,0886069909,43,ครู,ชาย,13/80,15,ชุมแพ,ชุมแพ,ขอนแก่น,40130,หย่าร้าง,ศุภชัย แก้วใส,พี่น้อง,272000
C040,ธนกร อินทร์ดี,0887224540,27,แพทย์,ชาย,156/64,2,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000,โสด,ศิริพร บุญช่วย,มารดา,1395000
C041,ณิชาภัทร ทองคำ,0851548888,64,คนขับรถ,หญิง,80/54,11,น้ำพอง,น้ำพอง,ขอนแก่น,40140,โสด,รัตนาภรณ์ พงษ์ดี,บุตร,388000
C042,พัชราภา มีสุข,0875628522,33,พนักงานขาย,หญิง,186/13,11,เมืองเก่า,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,ภูมิพัฒน์ แก้วมณี,สามี,211000
C043,อรทัย วัฒนชัย,0824475523,49,ครู,ชาย,11/7,13,น้ำพอง,น้ำพอง,ขอนแก่น,40140,หย่าร้าง,ศิริพร รุ่งเรือง,บุตร,345000
C044,อรปรียา บุญมี,0821432519,34,นักบัญชี,ชาย,2/36,14,น้ำพอง,น้ำพอง,ขอนแก่น,40140,สมรส,พิมพ์ชนก บุญช่วย,สามี,329000
C045,พิมพ์ชนก ใจดี,0828990081,42,พยาบาล,หญิง,90/34,1,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000,สมรส,เอกภพ อินทร์ดี,บุตร,298000
C046,สุภาวดี มีสุข,0881522621,52,ช่างก่อสร้าง,ชาย,258/29,10,ชุมแพ,ชุมแพ,ขอนแก่น,40130,โสด,เอกภพ สุวรรณ,บุตร,334000
C047,สมหญิง พงษ์ดี,0835614002,45,โปรแกรมเมอร์,ชาย,228/10,15,ชุมแพ,ชุมแพ,ขอนแก่น,40130,โสด,ภัทรพล ศรีทอง,มารดา,367000
C048,ศุภชัย แก้วมณี,0848215376,57,คนขับรถ,หญิง,272/38,8,บ้านไผ่,บ้านไผ่,ขอนแก่น,40110,หม้าย,กิตติพงษ์ คงดี,บิดา,462000
C049,สุภาวดี แก้วใส,0863560856,46,นักบัญชี,หญิง,213/94,2,บ้านไผ่,บ้านไผ่,ขอนแก่น,40110,หย่าร้าง,ธีรภัทร์ คงมั่น,พี่น้อง,370000
C050,ณิชาภัทร พงษ์ดี,0896530541,24,ครู,ชาย,222/13,12,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,โสด,ชยพล รุ่งเรือง,บุตร,270000
