Customer_ID,Customer_Name,Phone,Age,Occupation,Gender,House_No,Moo,Subdistrict,District,Province,Postal_Code,Marital_Status,Beneficiary_Name,Beneficiary_Relationship,Annual_Income
C001,ปวีณา คงดี,0873032168,26,เกษตรกร,หญิง,133/38,4,สำราญ,เมืองขอนแก่น,ขอนแก่น,40000,โสด,ธีรภัทร์ ทองคำ,บิดา,354000
C002,ปวีณา แสงทอง,0848156993,41,ตำรวจ,ชาย,210/5,13,กุดเค้า,มัญจาคีรี,ขอนแก่น,40160,สมรส,นภัสสร บุญมี,บุตร,377000
C003,ณัฐวุฒิ ทองคำ,0823976520,61,คนขับรถ,หญิง,266/99,2,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,สุภาวดี คงมั่น,พี่น้อง,185000
C004,ณิชาภัทร ทองคำ,0893897189,64,วิศวกร,หญิง,4/69,1,กุดเค้า,มัญจาคีรี,ขอนแก่น,40160,หย่าร้าง,รัตนาภรณ์ อินทร์ดี,พี่น้อง,405000
C005,วรพล บุญช่วย,0829228807,32,แพทย์,ชาย,122/31,11,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,ชยพล วงศ์ดี,มารดา,1027000
C006,วรพล ศรีสุข,0824194286,21,เกษตรกร,หญิง,49/24,4,เมืองพล,พล,ขอนแก่น,40120,โสด,วรัญญา สายทอง,สามี,302000
C007,สมหญิง สายทอง,0866562238,64,โปรแกรมเมอร์,หญิง,69/14,10,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,พัชราภา ศรีสุข,บุตร,1079000
C008,สุภาวดี ใจดี,0826213454,23,ตำรวจ,หญิง,167/76,4,น้ำพอง,น้ำพอง,ขอนแก่น,40140,โสด,อนันต์ สุขสวัสดิ์,ภรรยา,261000
C009,ชยพล พรหมดี,0891875151,36,ช่างก่อสร้าง,หญิง,110/18,12,เมืองพล,พล,ขอนแก่น,40120,สมรส,วรัญญา วัฒนชัย,มารดา,595000
C010,สุภาวดี อินทร์ทอง,0882583753,63,ครู,ชาย,178/54,2,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,สมรส,รัตนาภรณ์ แก้วมณี,ภรรยา,286000
C011,สุภาวดี ศรีทอง,0857714351,22,ตำรวจ,ชาย,29/89,7,กุดเค้า,มัญจาคีรี,ขอนแก่น,40160,สมรส,สมชาย ศรีทอง,สามี,480000
C012,สมชาย บุญมี,0858835702,52,นักบัญชี,ชาย,138/89,10,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,ศุภชัย สุขสวัสดิ์,บุตร,464000
C013,กิตติพงษ์ แก้วมณี,0848748492,39,พยาบาล,หญิง,145/66,8,เมืองพล,พล,ขอนแก่น,40120,หม้าย,รัตนาภรณ์ สุวรรณ,ภรรยา,257000
C014,รัตนาภรณ์ แก้วใส,0883617418,44,คนขับรถ,หญิง,37/16,13,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,เอกภพ ศรีสุข,พี่น้อง,278000
C015,นภัสสร พรหมดี,0832049731,51,ครู,ชาย,231/98,11,กุดเค้า,มัญจาคีรี,ขอนแก่น,40160,สมรส,ณิชาภัทร สายทอง,สามี,403000
C016,ณิชาภัทร บุญช่วย,0847763242,56,เกษตรกร,ชาย,219/68,11,ในเมือง,เมืองขอนแก่น,ขอนแก่น,40000,หย่าร้าง,ณิชาภัทร คงมั่น,พี่น้อง,256000
C017,พิมพ์ชนก คงดี,0865644364,56,แพทย์,ชาย,216/19,6,กุดเค้า,มัญจาคีรี,ขอนแก่น,40160,โสด,ภูมิพัฒน์ ทองคำ,บุตร,1059000
C018,ชยพล เจริญสุข,0817732757,27,นักบัญชี,ชาย,82/25,8,ศิลา,เมืองขอนแก่น,ขอนแก่น,40000,สมรส,อรปรียา คงดี,สามี,519000
C019,พัชราภา เจริญสุข,0817103480,52,ครู,หญิง,144/43,10,เมืองเก่า,เมืองขอนแก่น,ขอนแก่น,40000,หม้าย,ณิชาภัทร ใจดี,ภรรยา,337000
C020,วรพล ทองดี,0825140835,21,เกษตรกร,หญิง,265/64,11,บ้านไผ่,บ้านไผ่,ขอนแก่น,40110,โสด,ณิชาภัทร สุวรรณ,ภรรยา,131000
C021,วรพล แก้วมณี,0812554295,53,นักบัญชี,ชาย,170/98,1,สำราญ,เมืองขอนแก่น,ขอนแก่น,40000,สมรส,ศิริพร พรหมดี,บุตร,491000
